### ESTACION ####### TMAX ####### TMIN ####### FECHA ### 
AZUL AERO		10.0		6.8		2025-06-13 00:00:00
AZUL AERO		14.0		4.3		2025-06-12 00:00:00
AZUL AERO		13.0		0.7		2025-06-11 00:00:00
AZUL AERO		14.7		-2.5		2025-06-10 00:00:00
AZUL AERO		10.5		-2.6		2025-06-09 00:00:00
AZUL AERO		10.5		1.3		2025-06-08 00:00:00
AZUL AERO		16.6		-0.7		2025-06-07 00:00:00
AZUL AERO		18.2		-0.9		2025-06-06 00:00:00
AZUL AERO		14.0		-1.7		2025-06-05 00:00:00
AZUL AERO		18.8		7.0		2025-06-04 00:00:00
AZUL AERO		15.4		2.8		2025-06-03 00:00:00
AZUL AERO		15.0		3.8		2025-06-02 00:00:00
AZUL AERO		14.0		-3.2		2025-06-01 00:00:00
AZUL AERO		14.6		-1.7		2025-05-31 00:00:00
AZUL AERO		12.3		1.8		2025-05-30 00:00:00
AZUL AERO		12.9		-2.7		2025-05-29 00:00:00
AZUL AERO		11.0		3.2		2025-05-28 00:00:00
AZUL AERO		15.9		7.8		2025-05-27 00:00:00
AZUL AERO		16.0		7.8		2025-05-26 00:00:00
AZUL AERO		16.8		5.3		2025-05-25 00:00:00
AZUL AERO		16.6		8.1		2025-05-24 00:00:00
AZUL AERO		13.5		5.3		2025-05-23 00:00:00
AZUL AERO		13.5		2.3		2025-05-22 00:00:00
AZUL AERO		10.7		2.1		2025-05-21 00:00:00
AZUL AERO		13.7		2.4		2025-05-20 00:00:00
AZUL AERO		13.0		1.8		2025-05-19 00:00:00
AZUL AERO		18.6		4.5		2025-05-18 00:00:00
AZUL AERO		21.1		15.0		2025-05-17 00:00:00
AZUL AERO		20.5		17.2		2025-05-16 00:00:00
AZUL AERO		18.6		12.3		2025-05-15 00:00:00
AZUL AERO		23.2		7.4		2025-05-14 00:00:00
AZUL AERO		19.9		3.1		2025-05-13 00:00:00
AZUL AERO		18.8		5.0		2025-05-12 00:00:00
AZUL AERO		19.5		2.3		2025-05-11 00:00:00
AZUL AERO		18.6		5.6		2025-05-10 00:00:00
AZUL AERO		21.0		3.2		2025-05-09 00:00:00
AZUL AERO		19.7		9.8		2025-05-08 00:00:00
AZUL AERO		21.0		8.3		2025-05-07 00:00:00
AZUL AERO		20.6		11.7		2025-05-06 00:00:00
AZUL AERO		15.6		7.2		2025-05-05 00:00:00
AZUL AERO		21.4		13.7		2025-05-04 00:00:00
AZUL AERO		22.3		3.4		2025-05-03 00:00:00
AZUL AERO		22.7		6.3		2025-05-02 00:00:00
AZUL AERO		19.5		6.8		2025-05-01 00:00:00
AZUL AERO		23.5		5.3		2025-04-30 00:00:00
AZUL AERO		21.4		3.4		2025-04-29 00:00:00
AZUL AERO		20.5		3.8		2025-04-28 00:00:00
AZUL AERO		18.0		5.8		2025-04-27 00:00:00
AZUL AERO		18.5		5.8		2025-04-26 00:00:00
AZUL AERO		23.0		12.8		2025-04-25 00:00:00
AZUL AERO		21.8		6.6		2025-04-24 00:00:00
AZUL AERO		25.0		12.1		2025-04-23 00:00:00
AZUL AERO		20.5		9.3		2025-04-22 00:00:00
AZUL AERO		16.5		7.8		2025-04-21 00:00:00
AZUL AERO		17.3		2.2		2025-04-20 00:00:00
AZUL AERO		17.8		4.8		2025-04-19 00:00:00
AZUL AERO		18.4		10.1		2025-04-18 00:00:00
AZUL AERO		17.5		4.4		2025-04-17 00:00:00
AZUL AERO		17.0		2.4		2025-04-16 00:00:00
AZUL AERO		12.4		8.0		2025-04-15 00:00:00
AZUL AERO		16.8		4.8		2025-04-14 00:00:00
AZUL AERO		21.7		5.5		2025-04-13 00:00:00
AZUL AERO		19.9		13.2		2025-04-12 00:00:00
AZUL AERO		22.8		17.0		2025-04-11 00:00:00
AZUL AERO		23.6		14.8		2025-04-10 00:00:00
AZUL AERO		23.9		10.8		2025-04-09 00:00:00
AZUL AERO		23.4		10.3		2025-04-08 00:00:00
AZUL AERO		20.9		11.9		2025-04-07 00:00:00
AZUL AERO		21.6		6.1		2025-04-06 00:00:00
AZUL AERO		16.6		1.8		2025-04-05 00:00:00
AZUL AERO		15.9		3.5		2025-04-04 00:00:00
AZUL AERO		16.2		7.1		2025-04-03 00:00:00
AZUL AERO		22.7		7.4		2025-04-02 00:00:00
AZUL AERO		18.4		3.3		2025-04-01 00:00:00
AZUL AERO		19.4		10.7		2025-03-31 00:00:00
AZUL AERO		23.0		13.7		2025-03-30 00:00:00
AZUL AERO		25.0		7.3		2025-03-29 00:00:00
AZUL AERO		21.2		13.2		2025-03-28 00:00:00
AZUL AERO		27.2		16.4		2025-03-27 00:00:00
AZUL AERO		24.6		6.8		2025-03-26 00:00:00
AZUL AERO		23.4		7.8		2025-03-25 00:00:00
AZUL AERO		21.1		14.1		2025-03-24 00:00:00
AZUL AERO		17.8		14.8		2025-03-23 00:00:00
AZUL AERO		26.1		16.1		2025-03-22 00:00:00
AZUL AERO		30.4		14.8		2025-03-21 00:00:00
AZUL AERO		30.4		14.7		2025-03-20 00:00:00
AZUL AERO		27.5		14.9		2025-03-19 00:00:00
AZUL AERO		29.5		17.8		2025-03-18 00:00:00
AZUL AERO		27.2		12.1		2025-03-17 00:00:00
AZUL AERO		21.8		13.8		2025-03-16 00:00:00
AZUL AERO		23.7		11.6		2025-03-15 00:00:00
AZUL AERO		21.8		5.4		2025-03-14 00:00:00
AZUL AERO		19.5		5.2		2025-03-13 00:00:00
AZUL AERO		20.0		5.3		2025-03-12 00:00:00
AZUL AERO		20.9		10.3		2025-03-11 00:00:00
AZUL AERO		22.9		7.4		2025-03-10 00:00:00
AZUL AERO		21.0		8.8		2025-03-09 00:00:00
AZUL AERO		20.6		14.0		2025-03-08 00:00:00
AZUL AERO		33.0		18.9		2025-03-07 00:00:00
AZUL AERO		26.1		19.6		2025-03-06 00:00:00
AZUL AERO		26.3		18.2		2025-03-05 00:00:00
AZUL AERO		23.0		18.3		2025-03-04 00:00:00
AZUL AERO		27.5		16.8		2025-03-03 00:00:00
AZUL AERO		28.3		17.8		2025-03-02 00:00:00
AZUL AERO		29.0		19.4		2025-03-01 00:00:00
AZUL AERO		28.5		18.8		2025-02-28 00:00:00
AZUL AERO		27.5		13.3		2025-02-27 00:00:00
AZUL AERO		23.8		15.5		2025-02-26 00:00:00
AZUL AERO		31.6		17.5		2025-02-25 00:00:00
AZUL AERO		27.0		19.8		2025-02-24 00:00:00
AZUL AERO		30.6		19.6		2025-02-23 00:00:00
AZUL AERO		36.6		21.6		2025-02-22 00:00:00
AZUL AERO		37.3		16.3		2025-02-21 00:00:00
AZUL AERO		34.0		14.8		2025-02-20 00:00:00
AZUL AERO		30.5		8.9		2025-02-19 00:00:00
AZUL AERO		22.4		2.3		2025-02-18 00:00:00
AZUL AERO		27.2		7.7		2025-02-17 00:00:00
AZUL AERO		33.0		12.4		2025-02-16 00:00:00
AZUL AERO		29.5		9.8		2025-02-15 00:00:00
AZUL AERO		24.2		12.8		2025-02-14 00:00:00
AZUL AERO		31.3		13.3		2025-02-13 00:00:00
AZUL AERO		29.0		11.8		2025-02-12 00:00:00
AZUL AERO		27.5		12.8		2025-02-11 00:00:00
AZUL AERO		38.1		16.3		2025-02-10 00:00:00
AZUL AERO		32.0		11.3		2025-02-09 00:00:00
AZUL AERO		36.1		18.8		2025-02-08 00:00:00
AZUL AERO		34.6		14.2		2025-02-07 00:00:00
AZUL AERO		32.2		15.2		2025-02-06 00:00:00
AZUL AERO		23.5		13.6		2025-02-05 00:00:00
AZUL AERO		30.6		19.6		2025-02-04 00:00:00
AZUL AERO		32.6		20.4		2025-02-03 00:00:00
AZUL AERO		34.8		17.2		2025-02-02 00:00:00
AZUL AERO		32.7		17.4		2025-02-01 00:00:00
AZUL AERO		33.2		14.8		2025-01-31 00:00:00
AZUL AERO		32.0		17.2		2025-01-30 00:00:00
AZUL AERO		31.4		13.4		2025-01-29 00:00:00
AZUL AERO		30.7		13.1		2025-01-28 00:00:00
AZUL AERO		29.5		20.6		2025-01-27 00:00:00
AZUL AERO		33.5		14.2		2025-01-26 00:00:00
AZUL AERO		31.9		13.0		2025-01-25 00:00:00
AZUL AERO		30.5		17.9		2025-01-24 00:00:00
AZUL AERO		35.9		15.7		2025-01-23 00:00:00
AZUL AERO		34.8		15.2		2025-01-22 00:00:00
AZUL AERO		31.3		8.3		2025-01-21 00:00:00
AZUL AERO		29.7		10.3		2025-01-20 00:00:00
AZUL AERO		28.7		15.1		2025-01-19 00:00:00
AZUL AERO		30.0		14.0		2025-01-18 00:00:00
AZUL AERO		31.8		15.7		2025-01-17 00:00:00
AZUL AERO		33.0		19.8		2025-01-16 00:00:00
AZUL AERO		35.9		16.1		2025-01-15 00:00:00
AZUL AERO		34.7		18.2		2025-01-14 00:00:00
AZUL AERO		34.5		15.0		2025-01-13 00:00:00
AZUL AERO		32.3		14.3		2025-01-12 00:00:00
AZUL AERO		30.2		14.7		2025-01-11 00:00:00
AZUL AERO		30.5		18.2		2025-01-10 00:00:00
AZUL AERO		33.5		13.2		2025-01-09 00:00:00
AZUL AERO		32.4		11.3		2025-01-08 00:00:00
AZUL AERO		31.2		12.3		2025-01-07 00:00:00
AZUL AERO		29.6		11.1		2025-01-06 00:00:00
AZUL AERO		26.0		10.8		2025-01-05 00:00:00
AZUL AERO		28.0		8.8		2025-01-04 00:00:00
AZUL AERO		26.5		10.2		2025-01-03 00:00:00
AZUL AERO		24.7		10.8		2025-01-02 00:00:00
AZUL AERO		30.9		15.8		2025-01-01 00:00:00
AZUL AERO		28.5		16.3		2024-12-31 00:00:00
AZUL AERO		30.0		14.8		2024-12-30 00:00:00
AZUL AERO		28.6		14.8		2024-12-29 00:00:00
AZUL AERO		28.0		11.8		2024-12-28 00:00:00
AZUL AERO		29.8		11.2		2024-12-27 00:00:00
AZUL AERO		25.7		9.8		2024-12-26 00:00:00
AZUL AERO		21.5		12.9		2024-12-25 00:00:00
AZUL AERO		22.5		12.0		2024-12-24 00:00:00
AZUL AERO		28.1		14.7		2024-12-23 00:00:00
AZUL AERO		29.0		12.2		2024-12-22 00:00:00
AZUL AERO		22.6		7.2		2024-12-21 00:00:00
AZUL AERO		26.4		13.9		2024-12-20 00:00:00
AZUL AERO		30.5		14.2		2024-12-19 00:00:00
AZUL AERO		27.2		16.3		2024-12-18 00:00:00
AZUL AERO		27.3		12.1		2024-12-17 00:00:00
AZUL AERO		26.4		7.7		2024-12-16 00:00:00
AZUL AERO		28.0		9.8		2024-12-15 00:00:00
AZUL AERO		29.9		14.3		2024-12-14 00:00:00
AZUL AERO		29.9		16.4		2024-12-13 00:00:00
AZUL AERO		29.5		18.7		2024-12-12 00:00:00
AZUL AERO		29.5		14.8		2024-12-11 00:00:00
AZUL AERO		29.4		13.1		2024-12-10 00:00:00
AZUL AERO		23.0		9.4		2024-12-09 00:00:00
AZUL AERO		21.5		4.0		2024-12-08 00:00:00
AZUL AERO		18.6		7.6		2024-12-07 00:00:00
AZUL AERO		22.9		12.3		2024-12-06 00:00:00
AZUL AERO		22.6		16.6		2024-12-05 00:00:00
AZUL AERO		27.1		11.9		2024-12-04 00:00:00
AZUL AERO		22.7		5.6		2024-12-03 00:00:00
AZUL AERO		18.4		8.0		2024-12-02 00:00:00
AZUL AERO		21.6		14.1		2024-12-01 00:00:00
AZUL AERO		24.5		9.5		2024-11-30 00:00:00
AZUL AERO		24.5		12.9		2024-11-29 00:00:00
AZUL AERO		24.1		12.6		2024-11-28 00:00:00
AZUL AERO		25.9		13.7		2024-11-27 00:00:00
AZUL AERO		27.2		11.3		2024-11-26 00:00:00
AZUL AERO		26.8		16.2		2024-11-25 00:00:00
AZUL AERO		27.5		16.0		2024-11-24 00:00:00
AZUL AERO		27.1		14.8		2024-11-23 00:00:00
AZUL AERO		26.0		11.1		2024-11-22 00:00:00
AZUL AERO		25.3		13.3		2024-11-21 00:00:00
AZUL AERO		24.2		11.1		2024-11-20 00:00:00
AZUL AERO		21.8		8.7		2024-11-19 00:00:00
AZUL AERO		23.5		3.6		2024-11-18 00:00:00
AZUL AERO		19.6		10.1		2024-11-17 00:00:00
AZUL AERO		27.3		14.3		2024-11-16 00:00:00
AZUL AERO		30.6		16.7		2024-11-15 00:00:00
AZUL AERO		29.0		14.5		2024-11-14 00:00:00
AZUL AERO		26.1		6.6		2024-11-13 00:00:00
AZUL AERO		23.5		4.5		2024-11-12 00:00:00
AZUL AERO		17.6		9.3		2024-11-11 00:00:00
AZUL AERO		22.2		13.7		2024-11-10 00:00:00
AZUL AERO		26.2		13.1		2024-11-09 00:00:00
AZUL AERO		23.0		5.9		2024-11-08 00:00:00
AZUL AERO		20.0		9.1		2024-11-07 00:00:00
AZUL AERO		25.7		10.6		2024-11-06 00:00:00
AZUL AERO		24.6		7.3		2024-11-05 00:00:00
AZUL AERO		24.0		12.6		2024-11-04 00:00:00
AZUL AERO		21.4		5.1		2024-11-03 00:00:00
AZUL AERO		26.4		13.3		2024-11-02 00:00:00
AZUL AERO		31.0		16.6		2024-11-01 00:00:00
AZUL AERO		28.4		12.1		2024-10-31 00:00:00
AZUL AERO		31.0		17.6		2024-10-30 00:00:00
AZUL AERO		30.6		11.8		2024-10-29 00:00:00
AZUL AERO		29.5		9.9		2024-10-28 00:00:00
AZUL AERO		26.5		3.8		2024-10-27 00:00:00
AZUL AERO		22.6		3.1		2024-10-26 00:00:00
AZUL AERO		19.8		8.4		2024-10-25 00:00:00
AZUL AERO		23.8		11.2		2024-10-24 00:00:00
AZUL AERO		18.8		12.1		2024-10-23 00:00:00
AZUL AERO		26.8		9.6		2024-10-22 00:00:00
AZUL AERO		31.4		17.5		2024-10-21 00:00:00
AZUL AERO		30.0		15.1		2024-10-20 00:00:00
AZUL AERO		29.0		6.1		2024-10-19 00:00:00
AZUL AERO		25.4		5.2		2024-10-18 00:00:00
AZUL AERO		25.2		11.5		2024-10-17 00:00:00
AZUL AERO		25.9		6.1		2024-10-16 00:00:00
AZUL AERO		25.7		11.3		2024-10-15 00:00:00
AZUL AERO		20.5		7.0		2024-10-14 00:00:00
AZUL AERO		24.6		2.1		2024-10-13 00:00:00
AZUL AERO		23.9		4.1		2024-10-12 00:00:00
AZUL AERO		24.7		9.1		2024-10-11 00:00:00
AZUL AERO		21.7		6.7		2024-10-10 00:00:00
AZUL AERO		18.2		5.1		2024-10-09 00:00:00
AZUL AERO		20.6		6.9		2024-10-08 00:00:00
AZUL AERO		18.5		11.5		2024-10-07 00:00:00
AZUL AERO		20.6		5.3		2024-10-06 00:00:00
AZUL AERO		25.2		5.3		2024-10-05 00:00:00
AZUL AERO		22.0		7.1		2024-10-04 00:00:00
AZUL AERO		18.8		-1.7		2024-10-03 00:00:00
AZUL AERO		16.4		-0.4		2024-10-02 00:00:00
AZUL AERO		16.9		4.6		2024-10-01 00:00:00
AZUL AERO		22.6		12.4		2024-09-30 00:00:00
AZUL AERO		27.2		7.9		2024-09-29 00:00:00
AZUL AERO		23.7		7.3		2024-09-28 00:00:00
AZUL AERO		21.0		0.6		2024-09-27 00:00:00
AZUL AERO		18.6		1.9		2024-09-26 00:00:00
AZUL AERO		21.2		3.0		2024-09-25 00:00:00
AZUL AERO		20.4		5.1		2024-09-24 00:00:00
AZUL AERO		21.0		6.6		2024-09-23 00:00:00
AZUL AERO		19.3		11.5		2024-09-22 00:00:00
AZUL AERO		23.0		6.9		2024-09-21 00:00:00
AZUL AERO		19.2		8.7		2024-09-20 00:00:00
AZUL AERO		20.7		12.7		2024-09-19 00:00:00
AZUL AERO		25.6		9.5		2024-09-18 00:00:00
AZUL AERO		23.9		5.1		2024-09-17 00:00:00
AZUL AERO		24.1		1.4		2024-09-16 00:00:00
AZUL AERO		20.0		4.0		2024-09-15 00:00:00
AZUL AERO		18.0		0.5		2024-09-14 00:00:00
AZUL AERO		19.5		1.1		2024-09-13 00:00:00
AZUL AERO		18.5		0.6		2024-09-12 00:00:00
AZUL AERO		19.5		2.6		2024-09-11 00:00:00
AZUL AERO		15.5		4.2		2024-09-10 00:00:00
AZUL AERO		18.6		4.3		2024-09-09 00:00:00
AZUL AERO		22.6		0.9		2024-09-08 00:00:00
AZUL AERO		23.0		-0.5		2024-09-07 00:00:00
AZUL AERO		20.6		8.6		2024-09-06 00:00:00
AZUL AERO		16.4		-3.9		2024-09-05 00:00:00
AZUL AERO		17.7		3.1		2024-09-04 00:00:00
AZUL AERO		17.0		4.6		2024-09-03 00:00:00
AZUL AERO		18.0		7.5		2024-09-02 00:00:00
AZUL AERO		15.4		0.7		2024-09-01 00:00:00
AZUL AERO		9.6		5.0		2024-08-31 00:00:00
AZUL AERO		13.6		3.6		2024-08-30 00:00:00
AZUL AERO		20.1		2.7		2024-08-29 00:00:00
AZUL AERO		17.5		0.6		2024-08-28 00:00:00
AZUL AERO		18.9		-0.7		2024-08-27 00:00:00
AZUL AERO		14.2		-2.4		2024-08-26 00:00:00
AZUL AERO		12.0		-2.2		2024-08-25 00:00:00
AZUL AERO		13.5		-2.5		2024-08-24 00:00:00
AZUL AERO		12.0		-2.0		2024-08-23 00:00:00
AZUL AERO		9.7		4.3		2024-08-22 00:00:00
AZUL AERO		9.5		4.0		2024-08-21 00:00:00
AZUL AERO		10.0		-3.3		2024-08-20 00:00:00
AZUL AERO		12.8		3.0		2024-08-19 00:00:00
AZUL AERO		14.1		7.4		2024-08-18 00:00:00
BAHIA BLANCA AERO		15.1		-2.8		2025-08-17 00:00:00
BAHIA BLANCA AERO		14.2		4.8		2025-08-16 00:00:00
BAHIA BLANCA AERO		13.5		-4.9		2025-08-15 00:00:00
BAHIA BLANCA AERO		13.2		-2.1		2025-08-14 00:00:00
BAHIA BLANCA AERO		11.3		1.7		2025-08-13 00:00:00
BAHIA BLANCA AERO		18.2		9.9		2025-08-12 00:00:00
BAHIA BLANCA AERO		23.1		4.7		2025-08-11 00:00:00
BAHIA BLANCA AERO		20.0		4.6		2025-08-10 00:00:00
BAHIA BLANCA AERO		18.7		-1.8		2025-08-09 00:00:00
BAHIA BLANCA AERO		15.8		-0.3		2025-08-08 00:00:00
BAHIA BLANCA AERO		12.2		4.4		2025-08-07 00:00:00
BAHIA BLANCA AERO		15.5		4.6		2025-08-06 00:00:00
BAHIA BLANCA AERO		13.3		-0.2		2025-08-05 00:00:00
BAHIA BLANCA AERO		10.5		2.4		2025-08-04 00:00:00
BAHIA BLANCA AERO		13.8		2.7		2025-08-03 00:00:00
BAHIA BLANCA AERO		17.6		8.6		2025-08-02 00:00:00
BAHIA BLANCA AERO		11.7		8.0		2025-08-01 00:00:00
BAHIA BLANCA AERO		16.9		10.3		2025-07-31 00:00:00
BAHIA BLANCA AERO		16.5		11.1		2025-07-30 00:00:00
BAHIA BLANCA AERO		16.8		6.2		2025-07-29 00:00:00
BAHIA BLANCA AERO		13.9		5.2		2025-07-28 00:00:00
BAHIA BLANCA AERO		8.2		3.0		2025-07-27 00:00:00
BAHIA BLANCA AERO		8.6		1.4		2025-07-26 00:00:00
BAHIA BLANCA AERO		13.4		6.3		2025-07-25 00:00:00
BAHIA BLANCA AERO		14.7		1.1		2025-07-24 00:00:00
BAHIA BLANCA AERO		12.1		-3.6		2025-07-23 00:00:00
BAHIA BLANCA AERO		10.3		2.8		2025-07-22 00:00:00
BAHIA BLANCA AERO		12.2		0.5		2025-07-21 00:00:00
BAHIA BLANCA AERO		13.9		2.2		2025-07-20 00:00:00
BAHIA BLANCA AERO		16.8		7.9		2025-07-19 00:00:00
BAHIA BLANCA AERO		21.2		8.1		2025-07-18 00:00:00
BAHIA BLANCA AERO		18.2		0.3		2025-07-17 00:00:00
BAHIA BLANCA AERO		13.1		2.2		2025-07-16 00:00:00
BAHIA BLANCA AERO		17.4		10.0		2025-07-15 00:00:00
BAHIA BLANCA AERO		20.9		4.6		2025-07-14 00:00:00
BAHIA BLANCA AERO		18.5		10.0		2025-07-13 00:00:00
BAHIA BLANCA AERO		13.4		6.2		2025-07-12 00:00:00
BAHIA BLANCA AERO		15.1		2.6		2025-07-11 00:00:00
BAHIA BLANCA AERO		9.5		5.2		2025-07-10 00:00:00
BAHIA BLANCA AERO		9.7		8.2		2025-07-09 00:00:00
BAHIA BLANCA AERO		10.7		1.2		2025-07-08 00:00:00
BAHIA BLANCA AERO		15.2		6.6		2025-07-07 00:00:00
BAHIA BLANCA AERO		9.8		1.6		2025-07-06 00:00:00
BAHIA BLANCA AERO		10.7		2.7		2025-07-05 00:00:00
BAHIA BLANCA AERO		12.6		2.7		2025-07-04 00:00:00
BAHIA BLANCA AERO		13.1		5.2		2025-07-03 00:00:00
BAHIA BLANCA AERO		12.3		-3.7		2025-07-02 00:00:00
BAHIA BLANCA AERO		10.1		-6.6		2025-07-01 00:00:00
BAHIA BLANCA AERO		6.7		-2.6		2025-06-30 00:00:00
BAHIA BLANCA AERO		7.7		0.0		2025-06-29 00:00:00
BAHIA BLANCA AERO		6.6		-2.9		2025-06-28 00:00:00
BAHIA BLANCA AERO		6.8		-2.9		2025-06-27 00:00:00
BAHIA BLANCA AERO		13.9		1.2		2025-06-26 00:00:00
BAHIA BLANCA AERO		12.9		2.0		2025-06-25 00:00:00
BAHIA BLANCA AERO		15.6		-2.6		2025-06-24 00:00:00
BAHIA BLANCA AERO		9.5		3.0		2025-06-23 00:00:00
BAHIA BLANCA AERO		11.4		3.0		2025-06-22 00:00:00
BAHIA BLANCA AERO		13.6		2.8		2025-06-21 00:00:00
BAHIA BLANCA AERO		15.3		3.8		2025-06-20 00:00:00
BAHIA BLANCA AERO		18.7		2.0		2025-06-19 00:00:00
BAHIA BLANCA AERO		13.9		-0.2		2025-06-18 00:00:00
BAHIA BLANCA AERO		15.9		-1.4		2025-06-17 00:00:00
BAHIA BLANCA AERO		15.2		8.0		2025-06-16 00:00:00
BAHIA BLANCA AERO		15.8		0.0		2025-06-15 00:00:00
BAHIA BLANCA AERO		15.1		-0.6		2025-06-14 00:00:00
BAHIA BLANCA AERO		15.8		4.0		2025-06-13 00:00:00
BAHIA BLANCA AERO		15.7		6.8		2025-06-12 00:00:00
BAHIA BLANCA AERO		19.7		2.4		2025-06-11 00:00:00
BAHIA BLANCA AERO		13.5		2.0		2025-06-10 00:00:00
BAHIA BLANCA AERO		15.2		-1.6		2025-06-09 00:00:00
BAHIA BLANCA AERO		13.3		3.8		2025-06-08 00:00:00
BAHIA BLANCA AERO		16.4		0.4		2025-06-07 00:00:00
BAHIA BLANCA AERO		18.6		-1.6		2025-06-06 00:00:00
BAHIA BLANCA AERO		14.3		-1.5		2025-06-05 00:00:00
BAHIA BLANCA AERO		17.9		8.4		2025-06-04 00:00:00
BAHIA BLANCA AERO		18.3		8.6		2025-06-03 00:00:00
BAHIA BLANCA AERO		17.5		7.1		2025-06-02 00:00:00
BAHIA BLANCA AERO		17.2		-0.7		2025-06-01 00:00:00
BAHIA BLANCA AERO		12.7		-0.4		2025-05-31 00:00:00
BAHIA BLANCA AERO		16.4		7.2		2025-05-30 00:00:00
BAHIA BLANCA AERO		17.2		2.2		2025-05-29 00:00:00
BAHIA BLANCA AERO		10.4		0.0		2025-05-28 00:00:00
BAHIA BLANCA AERO		12.9		7.6		2025-05-27 00:00:00
BAHIA BLANCA AERO		16.9		11.4		2025-05-26 00:00:00
BAHIA BLANCA AERO		20.6		4.0		2025-05-25 00:00:00
BAHIA BLANCA AERO		20.5		9.1		2025-05-24 00:00:00
BAHIA BLANCA AERO		18.7		2.9		2025-05-23 00:00:00
BAHIA BLANCA AERO		13.1		4.4		2025-05-22 00:00:00
BAHIA BLANCA AERO		12.0		-0.9		2025-05-21 00:00:00
BAHIA BLANCA AERO		14.2		1.5		2025-05-20 00:00:00
BAHIA BLANCA AERO		16.1		3.4		2025-05-19 00:00:00
BAHIA BLANCA AERO		17.1		4.1		2025-05-18 00:00:00
BAHIA BLANCA AERO		22.7		9.5		2025-05-17 00:00:00
BAHIA BLANCA AERO		22.1		7.4		2025-05-16 00:00:00
BAHIA BLANCA AERO		23.7		9.4		2025-05-15 00:00:00
BAHIA BLANCA AERO		22.8		10.4		2025-05-14 00:00:00
BAHIA BLANCA AERO		23.1		14.0		2025-05-13 00:00:00
BAHIA BLANCA AERO		23.7		12.3		2025-05-12 00:00:00
BAHIA BLANCA AERO		24.4		5.8		2025-05-11 00:00:00
BAHIA BLANCA AERO		19.6		4.6		2025-05-10 00:00:00
BAHIA BLANCA AERO		20.0		7.8		2025-05-09 00:00:00
BAHIA BLANCA AERO		18.6		8.7		2025-05-08 00:00:00
BAHIA BLANCA AERO		15.5		3.2		2025-05-07 00:00:00
BAHIA BLANCA AERO		20.6		9.8		2025-05-06 00:00:00
BAHIA BLANCA AERO		17.9		2.6		2025-05-05 00:00:00
BAHIA BLANCA AERO		21.5		8.2		2025-05-04 00:00:00
BAHIA BLANCA AERO		26.0		10.0		2025-05-03 00:00:00
BAHIA BLANCA AERO		19.6		6.6		2025-05-02 00:00:00
BAHIA BLANCA AERO		23.5		12.7		2025-05-01 00:00:00
BAHIA BLANCA AERO		26.6		12.9		2025-04-30 00:00:00
BAHIA BLANCA AERO		24.9		5.0		2025-04-29 00:00:00
BAHIA BLANCA AERO		21.8		5.3		2025-04-28 00:00:00
BAHIA BLANCA AERO		18.8		6.6		2025-04-27 00:00:00
BAHIA BLANCA AERO		16.6		7.7		2025-04-26 00:00:00
BAHIA BLANCA AERO		23.1		11.9		2025-04-25 00:00:00
BAHIA BLANCA AERO		23.9		6.8		2025-04-24 00:00:00
BAHIA BLANCA AERO		23.1		12.4		2025-04-23 00:00:00
BAHIA BLANCA AERO		20.8		10.5		2025-04-22 00:00:00
BAHIA BLANCA AERO		17.7		11.3		2025-04-21 00:00:00
BAHIA BLANCA AERO		19.6		2.2		2025-04-20 00:00:00
BAHIA BLANCA AERO		17.3		4.4		2025-04-19 00:00:00
BAHIA BLANCA AERO		17.7		7.9		2025-04-18 00:00:00
BAHIA BLANCA AERO		20.1		10.8		2025-04-17 00:00:00
BAHIA BLANCA AERO		18.9		5.8		2025-04-16 00:00:00
BAHIA BLANCA AERO		16.5		11.0		2025-04-15 00:00:00
BAHIA BLANCA AERO		12.9		8.8		2025-04-14 00:00:00
BAHIA BLANCA AERO		18.9		7.6		2025-04-13 00:00:00
BAHIA BLANCA AERO		19.1		10.6		2025-04-12 00:00:00
BAHIA BLANCA AERO		23.2		15.6		2025-04-11 00:00:00
BAHIA BLANCA AERO		24.4		13.2		2025-04-10 00:00:00
BAHIA BLANCA AERO		24.7		13.3		2025-04-09 00:00:00
BAHIA BLANCA AERO		23.2		7.4		2025-04-08 00:00:00
BAHIA BLANCA AERO		24.4		9.5		2025-04-07 00:00:00
BAHIA BLANCA AERO		22.5		7.9		2025-04-06 00:00:00
BAHIA BLANCA AERO		20.6		2.5		2025-04-05 00:00:00
BAHIA BLANCA AERO		16.2		2.4		2025-04-04 00:00:00
BAHIA BLANCA AERO		15.7		7.2		2025-04-03 00:00:00
BAHIA BLANCA AERO		23.1		10.0		2025-04-02 00:00:00
BAHIA BLANCA AERO		20.5		6.0		2025-04-01 00:00:00
BAHIA BLANCA AERO		19.6		9.0		2025-03-31 00:00:00
BAHIA BLANCA AERO		22.6		14.6		2025-03-30 00:00:00
BAHIA BLANCA AERO		28.6		12.5		2025-03-29 00:00:00
BAHIA BLANCA AERO		25.5		16.8		2025-03-28 00:00:00
BAHIA BLANCA AERO		26.4		14.1		2025-03-27 00:00:00
BAHIA BLANCA AERO		22.6		10.8		2025-03-26 00:00:00
BAHIA BLANCA AERO		23.5		7.8		2025-03-25 00:00:00
BAHIA BLANCA AERO		19.5		12.8		2025-03-24 00:00:00
BAHIA BLANCA AERO		16.2		12.2		2025-03-23 00:00:00
BAHIA BLANCA AERO		21.2		13.8		2025-03-22 00:00:00
